"lftd" "LS" "AS" "sekse" "noord" "oost" "zuid" "west" "regio" "lftj" "psw" "LOLS" "LOAS" "DT"
2329 0.726666666666667 0.570833333333333 1 1 0 0 0 1 6 1.8242 0.977775815524838 0.285251937598488 2.4
2329 0.206666666666667 0.411666666666667 1 0 0 0 1 4 6 0.9235 -1.34513628862638 -0.357079720305318 -13.3
2330 0.589166666666667 0.420833333333333 0 0 1 0 0 2 6 0.8745 0.360521491853884 -0.319353416289434 5.5
2330 0.4 0.186666666666667 0 0 0 1 0 3 6 1.2059 -0.405465108108164 -1.47181653455805 9
2330 0.584166666666667 0.533333333333333 1 0 0 1 0 3 6 0.8712 0.339901791283073 0.133531392624521 -3.3
2331 0.406666666666667 0.44 0 0 0 1 0 3 6 1.2059 -0.377762505558827 -0.241162056816888 -5.3
2331 0.593333333333333 0.338333333333333 1 0 0 0 1 4 6 0.9235 0.377762505558827 -0.670730301645405 10.8
2331 0.5375 0.105 1 0 0 0 1 4 6 0.9235 0.150282203049338 -2.14286336811733 20.7
2331 0.605833333333333 0.2225 0 0 0 0 1 4 6 0.9601 0.429831089041585 -1.25115654244709 17.8
2332 0.255833333333333 0.0916666666666667 1 0 0 0 1 4 6 0.9235 -1.0677388332893 -2.29345260943077 7.6
2332 0.525 0.456666666666667 1 0 1 0 0 2 6 0.9966 0.100083458556983 -0.173769274978636 -0.5
2332 0.41 0.505833333333333 0 1 0 0 0 1 6 1.8932 -0.363965377201412 0.0233343920617715 -10.1
2333 0.476666666666667 0.515 0 0 0 1 0 3 6 1.2059 -0.0934011750883994 0.060018009726253 -7.5
2334 0.564166666666667 0.299166666666667 1 0 1 0 0 2 6 0.9966 0.258089808847354 -0.851269271484667 11.4
2334 0.330833333333333 0.0866666666666667 1 0 0 1 0 3 6 0.8712 -0.704418433259573 -2.35503156836659 11.7
2335 0.7575 0.4675 0 0 0 0 1 4 6 0.9601 1.13902182700599 -0.130183548854838 13.2
2335 0.6475 0.318333333333333 1 1 0 0 0 1 6 1.8242 0.608068171321369 -0.761441727996173 15.2
2336 0.675833333333333 0.286666666666667 0 0 1 0 0 2 6 0.8745 0.734688710496965 -0.911628718768342 18.7
2336 0.645 0.499166666666667 1 0 0 0 1 4 6 0.9235 0.597132527320357 -0.003333336419757 3.1
2336 0.559166666666667 0.339166666666667 1 1 0 0 0 1 6 1.8242 0.237780705113384 -0.667010036192251 8.8
2337 0.445 0.4725 0 0 1 0 0 2 6 0.8745 -0.220893831580194 -0.110111118416424 -5.8
2337 0.5125 0.486666666666667 1 0 0 1 0 3 6 0.8712 0.0500104205746612 -0.0533459807052913 -3.4
2338 0.344166666666667 0.280833333333333 0 0 0 1 0 3 6 1.2059 -0.644780655456369 -0.940331760731068 1.2
2339 0.528333333333333 0.405833333333333 1 0 0 0 1 4 6 0.9235 0.113454876234042 -0.381217297331708 3.1
2339 0.5975 0.465833333333333 1 0 0 1 0 3 6 0.8712 0.395059186947048 -0.136879983765572 2.8
2340 0.398333333333333 0.465833333333333 1 0 0 0 1 4 6 0.9235 -0.412414406401372 -0.136879983765572 -7.6
2340 0.370833333333333 0.481666666666667 0 0 1 0 0 2 6 0.8745 -0.528643467082786 -0.0733662240668006 -10.1
2340 0.665 0.296666666666667 1 0 0 0 1 4 6 0.9235 0.685656508830788 -0.863221763743925 17.4
