"lftd" "LS" "AS" "sekse" "noord" "oost" "zuid" "west" "regio" "lftj" "psw" "LOLS" "LOAS" "DT"
2262 0.776666666666667 0.274166666666667 0 0 1 0 0 2 6 1.0023 1.24634583417474 -0.973584226087129 27.2
2262 0.193333333333333 0.415833333333333 1 0 0 0 1 4 6 0.9539 -1.42849471561027 -0.339901791283073 -13.7
2263 0.4225 0.11 1 0 1 0 0 2 6 1.0027 -0.31251899559872 -2.09074109693377 15
2263 0.3125 0.303333333333333 0 0 0 1 0 3 6 1.1182 -0.78845736036427 -0.831474745447963 -0.7
2264 0.0766666666666667 0.475 1 0 0 0 1 4 6 0.9539 -2.48852329025819 -0.100083458556983 -26.4
2265 0.431666666666667 0.236666666666667 1 0 1 0 0 2 6 1.0027 -0.275054415583978 -1.17104212651292 8.7
2266 0.409166666666667 0.67 0 0 0 0 1 4 6 0.8903 -0.367411398737605 0.708185057924486 -23.5
2266 0.553333333333333 0.501666666666667 0 0 0 0 1 4 6 0.8903 0.214147988405631 0.00666669135819084 -0.9
2267 0.393333333333333 0.645833333333333 1 0 0 1 0 3 6 0.8999 -0.433322062611132 0.600773860428929 -22.1
2268 0.304166666666667 0.111666666666667 1 0 0 0 1 4 6 0.9539 -0.827534371268363 -2.07382880477487 8.9
2268 0.3675 0.2325 0 0 0 0 1 4 6 0.8903 -0.542956901948784 -1.19424825443394 5.7
2268 0.568333333333333 0.4725 1 0 1 0 0 2 6 1.0027 0.275054415583978 -0.110111118416424 2.1
2268 0.429166666666667 0.284166666666667 0 0 0 0 1 4 6 0.8903 -0.285251937598488 -0.923886444700737 6.2
2268 0.4375 0.466666666666667 1 0 0 0 1 4 6 0.9539 -0.251314428280906 -0.133531392624521 -4.3
2269 0.839166666666667 0.476666666666667 1 0 1 0 0 2 6 1.0027 1.65204070381368 -0.0934011750883994 20
2269 0.771666666666667 0.408333333333333 0 0 0 1 0 3 6 1.1182 1.21774612825811 -0.37085957893069 19.3
2270 0.65 0.458333333333333 1 1 0 0 0 1 6 1.8843 0.619039208406224 -0.167054084663168 7.9
2270 0.405 0.5275 1 0 1 0 0 2 6 1.0027 -0.384674338439091 0.110111118416424 -10.7
2271 0.320833333333333 0.200833333333333 1 0 1 0 0 2 6 1.0027 -0.74994477895308 -1.38109414139279 4.9
2271 0.66 0.611666666666667 0 0 0 0 1 4 6 0.8903 0.663294217410264 0.454323394488871 -4.5
2272 0.3275 0.433333333333333 1 0 1 0 0 2 6 1.0027 -0.719514056400688 -0.268263986594681 -7.6
2272 0.553333333333333 0.185 0 0 1 0 0 2 6 1.0023 0.214147988405631 -1.48283228816254 17.6
2273 0.209166666666667 0.138333333333333 1 0 0 0 1 4 6 0.9539 -1.32995585947814 -1.82920226671183 2.2
2273 0.805 0.498333333333333 1 0 0 0 1 4 6 0.9539 1.41784271885482 -0.00666669135819046 15.5
2274 0.0808333333333333 0.159166666666667 0 0 1 0 0 2 6 1.0023 -2.43107804075012 -1.66444159230698 -8.1
2275 0.401666666666667 0.17 0 0 0 1 0 3 6 1.1182 -0.398525454997622 -1.58562726374038 10.5
2276 0.375 0.3875 0 0 0 0 1 4 6 0.8903 -0.510825623765991 -0.45783309362548 -2.3
2276 0.41 0.369166666666667 1 0 1 0 0 2 6 1.0027 -0.363965377201412 -0.535793483392312 0.5
2277 0.4875 0.398333333333333 1 1 0 0 0 1 6 1.8843 -0.0500104205746613 -0.412414406401372 2.7
2278 0.496666666666667 0.435833333333333 1 0 0 0 1 4 6 0.9539 -0.0133335308694638 -0.258089808847353 0.8
2279 0.735833333333333 0.494166666666667 1 0 0 0 1 4 6 0.9539 1.02442342672668 -0.0233343920617716 10.7
2281 0.365 0.34 1 0 1 0 0 2 6 1.0027 -0.5537276453102 -0.663294217410264 -0.1
2282 0.626666666666667 0.564166666666667 0 0 0 0 1 4 6 0.8903 0.517943091534856 0.258089808847354 -2.2
2282 0.165833333333333 0.125833333333333 1 0 0 0 1 4 6 0.9539 -1.61544995459073 -1.93831277158138 0.2
2282 0.363333333333333 0.5225 1 0 0 0 1 4 6 0.9539 -0.560925545817488 0.0900608239181809 -12.5
2283 0.5075 0.56 1 0 0 1 0 3 6 0.8999 0.0300022503037987 0.241162056816888 -8.4
2283 0.326666666666667 0.2375 1 0 0 1 0 3 6 0.8999 -0.723300218730631 -1.16643488500687 3.2
2284 0.3875 0.434166666666667 0 0 0 0 1 4 6 0.8903 -0.45783309362548 -0.264871085805328 -4.7
2285 0.594166666666667 0.576666666666667 0 0 0 0 1 4 6 0.8903 0.381217297331707 0.309104508039189 -5.2
2285 0.435833333333333 0.521666666666667 1 0 0 0 1 4 6 0.9539 -0.258089808847353 0.0867209747805333 -8.8
2285 0.0683333333333333 0.0991666666666667 0 0 1 0 0 2 6 1.0023 -2.61257740645079 -2.20651832452768 -5.9
2286 0.475 0.515 1 0 0 1 0 3 6 0.8999 -0.100083458556983 0.060018009726253 -6.2
2286 0.590833333333333 0.623333333333333 1 0 0 0 1 4 6 0.9539 0.367411398737605 0.503720798142245 -9.7
2286 0.534166666666667 0.239166666666667 0 0 0 1 0 3 6 1.1182 0.136879983765572 -1.15725366483535 13.8
2287 0.763333333333333 0.541666666666667 0 0 0 0 1 4 6 0.8903 1.17104212651292 0.167054084663167 8.7
